	PCoA1	PCoA2	batch	group	
C1	0.070292937	0.008586488	PRJNA660092	Control	
C10	0.063214765	0.074265456	PRJNA660092	Control	
C11	0.042104949	0.023151088	PRJNA660092	Control	
C12	0.058031044	0.014682226	PRJNA660092	Control	
C13	0.027860733	0.013065738	PRJNA660092	Control	
C14	0.085959115	-0.045130322	PRJNA660092	Control	
C15	0.078943983	0.008487091	PRJNA660092	Control	
C16	0.089550931	-0.016307374	PRJNA660092	Control	
C17	0.070419716	0.105550003	PRJNA660092	Control	
C18	0.078600169	-0.070824804	PRJNA660092	Control	
C19	0.071567684	0.03785668	PRJNA660092	Control	
C2	0.03025615	0.041010789	PRJNA660092	Control	
C20	0.067106935	0.051597592	PRJNA660092	Control	
C21	0.061378598	0.076864944	PRJNA660092	Control	
C22	0.095448888	0.012981873	PRJNA660092	Control	
C23	0.069801695	0.051420645	PRJNA660092	Control	
C24	0.054933332	0.02456583	PRJNA660092	Control	
C25	0.060304265	0.082888481	PRJNA660092	Control	
C26	0.067165444	0.072492637	PRJNA660092	Control	
C27	0.092680872	0.012227419	PRJNA660092	Control	
C28	0.056343227	-0.004756265	PRJNA660092	Control	
C29	0.093180156	0.01247642	PRJNA660092	Control	
C3	0.053964868	0.079863152	PRJNA660092	Control	
C30	0.043733601	0.034327668	PRJNA660092	Control	
C31	0.042483641	0.035500551	PRJNA660092	Control	
C32	0.082748832	0.031434398	PRJNA660092	Control	
C33	0.074293195	0.083079646	PRJNA660092	Control	
C34	0.034271452	0.019935343	PRJNA660092	Control	
C35	0.064758797	0.06092985	PRJNA660092	Control	
C36	0.075680983	0.065895277	PRJNA660092	Control	
C37	0.053836983	-0.023556858	PRJNA660092	Control	
C38	0.070979162	0.114271015	PRJNA660092	Control	
C39	0.072589545	0.105503221	PRJNA660092	Control	
C4	0.049704212	-0.023389757	PRJNA660092	Control	
C40	0.053557492	0.039674205	PRJNA660092	Control	
C41	0.086081923	0.047298428	PRJNA660092	Control	
C42	0.078013816	0.045297696	PRJNA660092	Control	
C43	0.071361465	0.097138046	PRJNA660092	Control	
C44	0.047098377	0.086578337	PRJNA660092	Control	
C45	0.036018091	0.056711416	PRJNA660092	Control	
C46	0.039205063	0.041200079	PRJNA660092	Control	
C47	0.052807494	0.057675155	PRJNA660092	Control	
C48	0.021593341	0.040721698	PRJNA660092	Control	
C49	0.06475959	0.084520734	PRJNA660092	Control	
C5	0.039369444	0.016335594	PRJNA660092	Control	
C50	0.05569369	0.088841237	PRJNA660092	Control	
C51	0.082913129	0.001836934	PRJNA660092	Control	
C6	0.060047191	0.017860623	PRJNA660092	Control	
C7	0.0745242	-0.011928945	PRJNA660092	Control	
C8	0.062213182	0.077983934	PRJNA660092	Control	
C9	0.050764428	0.085190514	PRJNA660092	Control	
ConT1	0.074386978	-0.028854761	PRJNA853196	Control	
ConT10	0.067368282	-0.069174718	PRJNA853196	Control	
ConT11	0.077061995	-0.088743597	PRJNA853196	Control	
ConT12	0.062585939	-0.081785023	PRJNA853196	Control	
ConT13	0.082286655	0.030702638	PRJNA853196	Control	
ConT14	0.040700586	0.003070842	PRJNA853196	Control	
ConT15	0.048292573	-0.010494059	PRJNA853196	Control	
ConT16	0.04640318	-0.025737216	PRJNA853196	Control	
