EC30	EC35	ESCCT36	C22	EC10	C14	CQEC12	ESCCT46	CQC15	ESCCT3	EC37	ESCCT20	CQEC7	CQEC22	ESCCT25	ConT5	CQEC25	ConT37	C36	EC22	ESCCT31	EC34	CQEC11	ConT2	C15	EC36	C33	ConT27	ConT29	C28	ConT41	CQEC18	EC16	EC9	ConT36	C1	ESCCT29	ESCCT14	CQC2	C10	ESCCT43	C35	CQC10	ESCCT10	ConT26	ESCCT42	ESCCT32	C42	C25	C40	CQEC19	CQEC9	C4	ESCCT12	ESCCT38	ConT25	ConT10	CQEC5	EC25	C20	CQC8	CQC4	ESCCT1	ConT22	ConT48	ESCCT37	CQC23	CQEC14	C44	C49	EC1	ESCCT35	C43	ESCCT44	ConT28	ESCCT34	ESCCT48	EC24	CQC24	C48	EC33	EC20	C5	ESCCT6	ESCCT28	EC19	ESCCT16	C17	EC21	ConT30	ESCCT33	ConT20	CQEC1	C38	EC32	EC26	ESCCT26	ConT31	CQEC15	CQC22	CQEC20	CQC9	EC38	C27	ESCCT11	CQEC17	CQEC21	EC14	CQEC3	CQC18	CQC21	C13	ConT42	ConT24	ESCCT41	C26	CQC7	EC8	C30	ESCCT49	ConT23	EC13	CQEC13	ConT18	ESCCT55	CQEC8	ESCCT17	CQC12	ESCCT56	ConT14	ConT6	CQC6	ConT16	CQC19	C41	ConT8	EC17	CQC14	EC4	ConT52	ConT50	EC11	CQC25	C24	ESCCT2	C47	CQEC6	EC3	CQC5	CQC13	ConT3	ESCCT24	ESCCT21	C31	ConT47	ConT38	CQC11	ESCCT30	C21	ESCCT52	ESCCT51	ConT44	ESCCT40	C19	EC2	ESCCT54	ESCCT8	ConT51	CQC3	CQC20	C9	ConT43	ConT39	C37	C29	C2	ConT4	CQEC16	EC31	ConT46	EC15	ConT34	ConT17	ConT7	EC12	ESCCT22	ESCCT15	CQEC24	C6	ConT40	EC28	ConT19	C12	CQEC10	CQEC23	ConT12	ConT35	EC27	C18	ConT11	ESCCT23	CQC16	C8	C45	C32	CQEC4	EC5	EC18	ESCCT39	EC7	EC29	ESCCT27	ESCCT7	C46	C23	EC23	ESCCT4	ConT45	ESCCT13	ESCCT18	C7	CQC1	EC39	C39	ESCCT9	ConT15	ConT1	EC6	ConT53	ESCCT50	CQC17	C16	ESCCT47	ESCCT5	C50	C51	ESCCT45	ConT49	ConT21	C3	ConT9	ESCCT19	ConT33	C11	ESCCT53	ConT32	C34	ConT13	CQEC2
1c64743f68251668fe10ecd563d7115c	1748	3251	6581	2948	6914	2265	2553	1814	6792	2180	4547	1628	3812	7124	3213	2407	6945	2971	4054	2995	3139	3298	12635	6950	3649	2416	4321	2362	1786	1060	3579	1375	2802	1768	3629	1395	1131	3689	22970	5624	5121	1453	12386	1541	1950	5269	2665	2633	3286	1766	26467	13545	1215	419	3680	2029	2428	218	1281	1864	25454	10555	1535	795	6639	2154	1514	3998	4938	2051	7033	956	9049	2985	1699	4982	762	1108	619	1965	4175	2387	1969	3025	812	6258	583	8613	4107	10066	1381	1532	20893	8362	3335	27	8738	2321	6530	17261	11029	63075	2886	5419	5807	16359	8849	8140	19843	965	3924	1189	1735	1165	5331	4203	23362	5574	1596	1684	2849	1279	4240	923	3886	12524	2860	1475	4604	2441	918	35661	1532	1058	3316	8406	1295	2478	6101	2550	3305	1368	7551	1546	3671	2693	9172	3331	10562	18346	4189	9092	1440	1282	12362	2229	6633	5089	1163	7353	4230	11697	1422	2415	3165	2424	1188	3540	1134	3780	5900	1843	12007	1284	4633	2270	4209	18461	3736	1526	1506	2336	944	12429	995	1100	7346	1336	655	1904	1050	4364	1370	51121	27673	1419	2665	2340	1346	3549	2480	65	6931	2393	480	15477	4087	10488	3063	1455	2940	3826	3546	3409	2655	2293	2747	4874	4378	2161	2006	4443	885	9326	3770	3297	3218	2046	9366	1463	1903	3125	1408	2015	5588	3504	8929	7823	2463	1916	18906	3803	1479	1053	14881	3877	2723	7160	21231
69a9ddd672338abb0cef2b6cc3cdd988	860	85	303	576	0	541	58	364	0	85	176	607	936	22	477	268	558	820	823	1210	1099	1153	197	136	1083	151	132	1013	241	335	218	751	176	251	1109	535	44	404	0	241	3436	116	357	267	785	778	573	670	252	28	539	9	431	652	2160	260	745	11	241	144	61	264	987	712	79	632	2550	162	50	111	294	383	27	576	2469	559	321	5	0	373	0	282	323	89	232	956	430	78	163	1039	3810	529	0	649	396	0	686	295	207	4	76	13	8	172	48	847	76	125	84	5898	35	33	155	2451	410	140	732	289	116	5142	174	279	678	202	172	51	47	0	222	535	123	231	144	100	636	196	2278	554	20	541	51	1170	1425	171	19	392	0	140	1393	9	1240	208	287	123	531	290	138	950	7	1093	4267	430	360	127	146	509	31	83	2	56	168	656	232	655	646	153	747	4828	165	365	1242	825	246	66	270	1016	117	1760	138	77	202	285	149	49	0	2425	2887	560	684	2383	258	0	166	41	50	100	1197	148	3674	357	344	400	923	366	876	14	547	140	169	260	172	1502	1809	607	132	131	510	10	554	361	350	257	183	556	141	877	150	758	1008	77	483	1081	253	290	330	48	522	174	48
c6bde16a7357fd01c8eda2cd9405104a	833	85	34	0	0	1579	0	59	1355	401	43	60	2	21	86	0	598	216	1333	0	39	1823	447	0	56	776	685	103	846	2254	0	0	1346	298	0	0	0	313	0	1175	331	1224	259	34	0	57	6	392	285	2309	52	0	729	7	0	154	183	0	0	178	0	286	0	18	32	199	126	4	7975	754	0	40	2103	0	75	0	13	193	7210	15324	0	115	4934	593	0	0	0	260	0	77	22	449	30	462	4106	249	236	0	653	0	1625	156	0	0	235	0	38	0	736	0	0	615	0	0	107	80	129	1034	6753	24	1150	260	940	0	10	131	0	4785	6	0	1127	2109	144	3290	1947	419	0	117	0	0	0	118	0	366	0	3591	0	35	15	0	972	278	15	1306	101	830	0	19	0	0	12	74	53	0	850	20	1508	64	5	3734	0	134	41	0	317	10691	0	617	141	34	297	92	88	6529	33	4	99	19	1093	25	1112	260	1204	4	11607	146	192	371	0	0	0	2940	1008	524	41	920	792	0	100	83	0	0	14	433	587	821	2082	880	17	0	584	2696	210	7	0	0	0	376	211	0	3393	1095	0	76	1585	11	9	0	24	2431	806	0	115	1241	427	97	0	0	932
fb347af4b91a967e98e7be84d915048d	711	9	12	5	0	65	69	13	0	20	39	24	4	569	59	5	19	61	24	0	2	7	65	4	79	8	161	5	20	708	2	0	55	0	11	38	0	22	0	6	20	102	118	10	11	7	0	3	35	2	0	0	74	28	3	11	46	0	25	48	0	1423	10	48	10	6	21	0	0	9	21	2	0	2	7	12	9	0	3	10	80	13	39	75	0	0	0	1536	4	3	8	6	117	272	635	0	37	38	322	0	0	6641	13	13	0	0	27	307	72	165	0	70	11	0	0	107	11	31	123	5	28	450	8	0	2	3452	0	0	0	0	203	67	17	44	0	183	2	7	478	24	29	4	686	51	11	40	0	21	72	0	5	15	17	243	12	6	68	21	12	4	5	6	0	322	0	0	10	15	0	0	621	6	4	6	49	185	25	257	6	8	5	20	10	124	4	4	7	18	34	9	65	56	1	27	0	33	103	106	57	0	65	0	347	92	1	1209	5	3	16	19	0	8	12	636	45	41	20	53	6	3	295	93	0	137	17	3	10	51	99	2	21	13	2	41	281	2	5	30	3	203	7	0	23	2	2	50	0	38	10
a94d349a1a12dd2110ddaa067816a3a6	542	7	36	0	0	0	55	73	0	40	0	6	1654	360	61	0	908	51	0	0	161	0	38	91	101	0	0	0	0	0	11	0	267	0	0	1041	108	87	0	33	0	45	0	364	1420	0	84	128	0	121	255	33	359	94	0	197	0	0	52	24	6	32	0	0	0	0	0	0	142	0	0	50	0	2312	125	127	0	0	0	0	755	0	0	104	100	0	102	18	0	25	191	37	0	12	0	0	0	107	0	0	0	0	2	58	442	0	0	0	500	7321	0	0	185	41	98	90	0	0	59	40	444	0	164	1231	63	0	1612	0	0	89	128	0	90	409	0	57	426	0	0	0	0	135	967	11	197	225	604	0	348	0	0	0	235	17	20	89	0	0	0	9	1048	0	436	41	0	0	0	32	0	1564	21	190	0	1139	121	0	152	0	53	277	888	206	0	4	27	32	1105	0	16	0	73	118	365	0	0	98	98	53	177	17	82	0	37	0	0	0	170	48	0	2011	332	588	0	5	118	0	312	0	50	391	35	120	753	127	0	0	228	0	6	37	0	40	1251	651	28	0	0	76	69	234	9	0	209	170	109	32	0	266	21
4954fc9d1468485b81e35649f548f020	450	36	12	45	0	64	0	20	0	13	87	6	573	0	27	12	369	230	70	19	12	391	204	27	132	1796	184	23	244	246	53	2	531	0	67	84	1	36	0	2	10	172	294	117	37	3	8	152	1274	139	501	0	32	19	5	31	12	0	76	29	2	3	15	202	28	13	0	776	68	84	39	32	86	17	67	19	3	78	81	225	2	89	0	40	65	367	7	326	11	11	12	38	534	287	294	2	0	45	322	0	0	8	76	194	4069	36	17	74	6	0	6	198	21	59	3	412	3	180	17	6	27	555	104	45	3	211	9	0	0	101	102	64	35	9	135	164	0	47	1136	25	7	81	89	55	3	27	0	18	465	0	12	16	40	476	3	116	9	33	165	19	18	39	21	35	310	4	19	26	0	13	26	28	15	3	133	64	53	0	503	2	9	24	9	32	282	72	7	67	94	9	113	50	240	34	0	9	165	2	65	3	216	0	268	952	86	1052	0	0	33	71	50	19	271	433	10	2	258	115	14	40	186	3913	76	1	481	20	35	0	12	12	0	130	53	161	949	0	2	27	6	272	25	4	125	180	29	55	0	45	432
fdac228059abf9a37037c163d1de11b8	432	73	800	823	0	285	29	4916	0	827	26	2084	14603	1632	6277	3832	4286	5652	798	77	1187	450	1074	3765	968	66	477	5673	595	86	4648	45	1825	24	6525	1845	602	4644	0	1121	491	683	8516	5016	6723	6623	943	717	137	347	310	0	383	758	5464	1716	2442	2	1151	465	378	147	1486	2128	4150	1026	5	0	245	448	468	2246	10	6171	1948	5259	363	14	0	97	125	473	1121	1286	2995	190	1078	282	156	1084	2831	3915	3718	315	197	3	4233	2440	420	0	16	254	252	573	1722	0	568	786	9827	6144	1026	1176	5194	1372	5290	869	668	21	798	505	3131	273	701	13785	732	592	541	2	2217	8214	3256	1845	9328	1746	536	2065	169	58	769	5891	5273	556	10248	285	2556	395	0	29	11746	0	8800	1119	4091	799	4292	3158	1914	2355	17	2280	3218	1142	4379	1262	333	670	160	7330	0	2	249	7540	5174	1391	381	587	4083	512	469	1975	1039	1330	1578	807	113	7254	9358	3048	787	517	879	6352	3714	105	0	2554	1536	289	856	1272	6175	0	831	141	177	1399	132	195	1631	383	393	6399	3834	885	829	162	1607	4535	1118	15069	277	6054	1604	292	1864	12828	7205	0	1164	2394	2186	456	7018	5216	315	588	734	2112	1748	351	1953	1312	3772	1935	2017	2570	114	3712	578
85e5895e2fdfdf63b97ccad36c74fb64	318	63	13	30	0	18	0	12	0	5	17	14	3	15	20	0	69	20	69	702	11	64	4	38	0	67	378	5	0	14	18	0	23	0	7	131	3	15	0	31	7	59	10	11	6	34	3	149	447	273	44	4	115	1	5	9	0	0	47	375	14	8	16	8	0	0	61	0	160	157	389	0	31	3	6	7	3	38	0	33	12	160	67	10	4	0	0	516	0	34	6	31	0	127	43	0	20	17	18	0	0	3	23	62	6	106	2	132	175	0	0	8	3	3	5	255	0	140	72	4	9	27	0	2	9	63	9	0	11	0	25	21	2	8	169	46	98	0	27	9	2	54	20	48	11	2	0	0	18	0	9	32	10	24	13	20	0	10	55	11	11	3	19	158	448	7	0	38	0	0	16	19	2	8	31	119	5	104	88	8	40	11	3	2	19	0	4	0	36	33	9	6	53	0	0	4	7	120	105	7	13	0	133	397	18	26	5	0	20	413	38	3	7	273	16	53	0	8	74	3	95	0	0	632	30	22	1	570	55	9	0	95	4	19	328	24	10	5	39	147	5	7	8	8	6	10	3	0	16
148fef114366d9a78eff952e01a3fa11	277	538	216	958	0	859	0	344	582	687	385	487	912	0	4137	733	1284	3129	252	30	218	71	1715	639	3123	644	1275	568	208	2077	2401	0	5960	59	4848	639	407	2804	0	1560	5458	1717	6505	559	207	927	113	1115	2010	348	326	18	735	643	1454	287	989	0	0	316	4255	1746	1677	4866	11367	104	8	6	1657	1745	88	732	112	583	370	698	107	27	6196	2050	749	548	1144	304	1120	1095	597	272	53	401	126	6978	0	754	334	2	2160	3270	3495	726	212	2411	462	2310	1784	0	19599	2482	1112	2330	0	1078	1493	1242	463	2769	4182	77	1252	130	813	1776	8	849	247	1089	187	0	118	4590	7414	4593	6409	2038	954	3284	210	0	636	7968	6275	792	1895	431	1254	3351	0	609	4640	0	3678	1082	598	7130	1176	1854	5651	2362	136	551	240	1930	129	2744	65	167	532	197	0	186	5259	400	397	136	2106	291	4711	12	858	881	0	1112	862	3352	47	399	1214	874	839	275	363	2551	2602	8092	0	1718	1218	571	1074	1235	3339	0	2926	1378	86	231	445	5159	586	342	717	402	2427	404	3889	146	6087	5447	400	706	851	1160	141	204	1908	1322	2517	28	1953	596	189	1385	3541	2712	1707	2689	169	2819	641	1800	2368	194	1255	2790	473	1147	215	2580	51990
7881a57a8096f9bb46bda53921e31f7d	263	0	0	0	0	328	0	0	0	189	467	35	0	772	0	0	92	0	57	74	0	1	332	68	0	5	102	0	13	475	0	0	49	0	0	49	62	0	1138	90	0	69	0	0	0	0	94	139	531	232	0	676	103	0	0	0	13	3	43	3	70	0	0	4	0	28	0	0	97	683	0	0	59	0	0	0	0	60	136	2020	0	0	31	0	7	38	0	0	0	0	0	38	0	89	268	66	117	0	676	0	38	0	0	141	0	0	222	167	483	0	877	30	1	0	3	131	188	0	168	0	17	62	309	9	0	0	21	2267	0	0	8	527	18	525	309	16	0	53	0	0	0	0	6	91	0	196	0	622	0	0	185	71	0	132	0	0	0	0	8	0	0	0	0	204	678	0	0	0	0	33	856	0	0	0	145	90	74	0	354	0	195	0	34	3505	144	0	0	162	181	0	34	0	31	190	0	12	1	170	10	0	0	0	82	185	9	0	30	576	0	27	332	0	0	95	26	627	0	0	0	0	32	74	9	0	0	2	16	0	80	0	515	96	0	0	107	52	0	0	0	9	215	0	0	115	0	15	0	0	0
