	asv	p	p.adj	log10FDR	Fold_change	gFC	gFC_label	gFC_abs
1	"f__Absconditabacteriales_(SR1),g__Absconditabacteriales_(SR1)"	0.509	0.583036364	0.234304358	53.48401163	0.059293423	pos	0.059293423
2	"f__Actinomycetaceae,g__Actinomyces"	0.882	0.882	0.054531415	-4.449370155	-0.004932659	neg	0.004932659
3	"f__Actinomycetaceae,g__F0332"	0.0412	0.083729032	1.077123928	5.372093023	0.005955608	pos	0.005955608
4	"f__Aerococcaceae,g__Abiotrophia"	0.00613	0.022717059	1.643647897	-902.0226744	-1	neg	1
5	"f__Anaerovoracaceae,g__Family_XIII_UCG-001"	0.506	0.583036364	0.234304358	-0.924612403	-0.001025043	neg	0.001025043
6	"f__Anaerovoracaceae,g__[Eubacterium]_nodatum_group"	0.14	0.215121951	0.667315272	9.327002584	0.010340098	pos	0.010340098
7	"f__Anaerovoracaceae,g__[Eubacterium]_saphenum_group"	0.00799	0.025956	1.585762235	-3.464922481	-0.003841281	neg	0.003841281
8	"f__Anaerovoracaceae,g__uncultured"	0.59	0.63	0.200659451	0.558139535	0.000618764	pos	0.000618764
9	f__Atopobiaceae	4.71E-08	1.48E-06	5.828668539	246.0263566	0.272749637	pos	0.272749637
10	"f__Bacteroidaceae,g__Bacteroides"	0.0293	0.065925	1.180949862	9.957364341	0.011038929	pos	0.011038929
11	"f__Burkholderiaceae,g__Lautropia"	0.00032	0.001878545	2.726178292	-182.0522287	-0.201826666	neg	0.201826666
12	"f__Campylobacteraceae,g__Campylobacter"	0.328	0.439659574	0.356883465	2.940826873	0.003260258	pos	0.003260258
13	"f__Cardiobacteriaceae,g__Cardiobacterium"	0.0234	0.058880769	1.230026525	4.418992248	0.004898981	pos	0.004898981
14	"f__Clostridia_UCG-014,g__Clostridia_UCG-014"	0.0439	0.08568	1.067120542	15.30775194	0.016970474	pos	0.016970474
15	f__Comamonadaceae	0.396	0.479769231	0.318967608	-16.36812016	-0.018146019	neg	0.018146019
16	"f__Corynebacteriaceae,g__Corynebacterium"	0.000328	0.001878545	2.726178292	-98.0125969	-0.108658684	neg	0.108658684
17	"f__Defluviitaleaceae,g__Defluviitaleaceae_UCG-011"	0.126	0.2016	0.695509472	-1.176937984	-0.001304776	neg	0.001304776
18	"f__Erysipelotrichaceae,g__Solobacterium"	0.311	0.425934783	0.370656893	10.7379845	0.01190434	pos	0.01190434
19	"f__Family_XI,g__Parvimonas"	0.542	0.599052632	0.22253502	11.61511628	0.012876745	pos	0.012876745
20	f__Flavobacteriaceae	0.000218	0.001526	2.816445466	0.65620155	0.000727478	pos	0.000727478
21	"f__Flavobacteriaceae,g__Capnocytophaga"	0.0148	0.042381818	1.372820416	13.36222421	0.014813623	pos	0.014813623
22	"f__Fusobacteriaceae,g__Fusobacterium"	0.365	0.457058824	0.340027903	-79.54644703	-0.088186749	neg	0.088186749
23	"f__Gemellaceae,g__Gemella"	0.128	0.2016	0.695509472	-17.85237403	-0.019791491	neg	0.019791491
24	f__Lachnospiraceae	0.000621	0.003009462	2.521511203	44.82524225	0.049694141	pos	0.049694141
25	"f__Lachnospiraceae,g__Butyrivibrio"	0.0141	0.0423	1.373659633	42.6998062	0.047337841	pos	0.047337841
26	"f__Lachnospiraceae,g__Catonella"	0.37	0.457058824	0.340027903	18.34554264	0.020338228	pos	0.020338228
27	"f__Lachnospiraceae,g__Johnsonella"	0.00199	0.008358	2.077897633	11.82005814	0.013103948	pos	0.013103948
28	"f__Lachnospiraceae,g__Stomatobaculum"	0.227	0.332581395	0.478102049	33.97093023	0.037660838	pos	0.037660838
29	"f__Leptotrichiaceae,g__Leptotrichia"	5.73E-05	0.0005157	3.287602869	191.9975083	0.212852197	pos	0.212852197
30	"f__Micrococcaceae,g__Rothia"	0.0305	0.066258621	1.178757609	-96.3248062	-0.106787566	neg	0.106787566
31	"f__Neisseriaceae,g__Eikenella"	0.692	0.70316129	0.152945046	-4.212209302	-0.004669738	neg	0.004669738
32	"f__Neisseriaceae,g__Neisseria"	1.94E-08	1.22E-06	5.912857721	-538.7099391	-0.597224387	neg	0.597224387
33	"f__P5D1-392,g__P5D1-392"	0.0241	0.058880769	1.230026525	-203.3306202	-0.225416307	neg	0.225416307
34	"f__Paludibacteraceae,g__F0058"	0.0696	0.1218	0.914352712	9.421414729	0.010444765	pos	0.010444765
35	"f__Pasteurellaceae,g__Actinobacillus"	0.0232	0.058880769	1.230026525	87.78527132	0.097320471	pos	0.097320471
36	"f__Pasteurellaceae,g__Aggregatibacter"	0.0472	0.08568	1.067120542	4.402648579	0.004880862	pos	0.004880862
37	"f__Pasteurellaceae,g__Haemophilus"	1.96E-07	3.09E-06	5.510463371	-194.0596899	-0.215138372	neg	0.215138372
38	"f__Peptococcaceae,g__Peptococcus"	0.447	0.531339623	0.274627797	-2.049031008	-0.002271596	neg	0.002271596
39	"f__Peptostreptococcaceae,g__Filifactor"	0.358	0.457058824	0.340027903	-4.552325581	-0.005046797	neg	0.005046797
40	"f__Peptostreptococcaceae,g__Peptostreptococcus"	0.0799	0.136045946	0.866314395	54.82848837	0.060783936	pos	0.060783936
41	"f__Porphyromonadaceae,g__Porphyromonas"	0.523	0.588375	0.230345789	13.59158053	0.015067892	pos	0.015067892
42	f__Prevotellaceae	0.0374	0.07854	1.104909103	-15.29050388	-0.016951352	neg	0.016951352
43	"f__Prevotellaceae,g__Alloprevotella"	0.632	0.6636	0.178093623	-35.35440891	-0.03919459	neg	0.03919459
