asv	mean_escc	mean_normal	p	batch	asv	mean_escc	mean_normal	p	batch	asv	mean_escc	mean_normal	p	batch
1	f__Absconditabacteriales_(SR1),g__Absconditabacteriales_(SR1)	160.192307692308	118.156862745098	0.583	PRJNA660092	f__Absconditabacteriales_(SR1),g__Absconditabacteriales_(SR1)	345.1875	289.783018867925	0.346	PRJNA853196	f__Absconditabacteriales_(SR1),g__Absconditabacteriales_(SR1)	72.58	46.52	0.162	CQ50
2	f__Actinomycetaceae,g__Actinomyces	23.4166666666667	21.0661764705882	0.571	PRJNA660092	f__Actinomycetaceae,g__Actinomyces	46.3794642857143	43.247641509434	0.741	PRJNA853196	f__Actinomycetaceae,g__Actinomyces	135.73	185.16	0.554	CQ50
3	f__Actinomycetaceae,g__F0332	4.51282051282051	4.49019607843137	0.888	PRJNA660092	f__Actinomycetaceae,g__F0332	0.339285714285714	1.90566037735849	0.00535	PRJNA853196	f__Actinomycetaceae,g__F0332	37	7.24	0.697	CQ50
4	f__Aerococcaceae,g__Abiotrophia	148.923076923077	53.7450980392157	0.435	PRJNA660092	f__Aerococcaceae,g__Abiotrophia	7.51785714285714	17.3207547169811	0.04	PRJNA853196	f__Aerococcaceae,g__Abiotrophia	104.48	4888.24	0.0509	CQ50
5	f__Anaerovoracaceae,g__[Eubacterium]_nodatum_group	16.948717948718	14.3856209150327	0.555	PRJNA660092	f__Anaerovoracaceae,g__[Eubacterium]_nodatum_group	54.6964285714286	47.9119496855346	0.532	PRJNA853196	f__Anaerovoracaceae,g__[Eubacterium]_nodatum_group	29.0933333333333	12.36	0.16	CQ50
6	f__Anaerovoracaceae,g__[Eubacterium]_saphenum_group	40.0769230769231	41.0392156862745	0.0186	PRJNA660092	f__Anaerovoracaceae,g__[Eubacterium]_saphenum_group	2.35714285714286	4.75471698113208	0.12	PRJNA853196	f__Anaerovoracaceae,g__[Eubacterium]_saphenum_group	5.28	2.64	0.512	CQ50
7	f__Anaerovoracaceae,g__Family_XIII_UCG-001	1.23076923076923	1.90196078431373	0.0648	PRJNA660092	f__Anaerovoracaceae,g__Family_XIII_UCG-001	7.48214285714286	10.0754716981132	0.99	PRJNA853196	f__Anaerovoracaceae,g__Family_XIII_UCG-001	3.04	2.88	0.356	CQ50
8	f__Anaerovoracaceae,g__uncultured	6.25641025641026	5.68627450980392	0.523	PRJNA660092	f__Anaerovoracaceae,g__uncultured	0.946428571428571	0.924528301886792	0.95	PRJNA853196	f__Anaerovoracaceae,g__uncultured	4.12	0.76	0.182	CQ50
9	f__Atopobiaceae	113.410256410256	66.0980392156863	0.00345	PRJNA660092	f__Atopobiaceae	542.964285714286	206.377358490566	0.000111	PRJNA853196	f__Atopobiaceae	441.72	130.64	0.0016	CQ50
10	f__Bacteroidaceae,g__Bacteroides	32.7435897435897	4.76470588235294	0.0495	PRJNA660092	f__Bacteroidaceae,g__Bacteroides	1.67857142857143	2.79245283018868	0.259	PRJNA853196	f__Bacteroidaceae,g__Bacteroides	8.36	0.92	0.277	CQ50
11	f__Burkholderiaceae,g__Lautropia	114.730769230769	148.019607843137	0.0894	PRJNA660092	f__Burkholderiaceae,g__Lautropia	28.1785714285714	33.5660377358491	0.141	PRJNA853196	f__Burkholderiaceae,g__Lautropia	179.64	1019.64	0.00377	CQ50
12	f__Campylobacteraceae,g__Campylobacter	70.2051282051282	74.8692810457516	0.643	PRJNA660092	f__Campylobacteraceae,g__Campylobacter	54.375	93.1383647798742	0.0137	PRJNA853196	f__Campylobacteraceae,g__Campylobacter	288.52	193.466666666667	0.14	CQ50
13	f__Cardiobacteriaceae,g__Cardiobacterium	12.4358974358974	11.7450980392157	0.122	PRJNA660092	f__Cardiobacteriaceae,g__Cardiobacterium	1.07142857142857	1.07547169811321	0.984	PRJNA853196	f__Cardiobacteriaceae,g__Cardiobacterium	106.76	89.16	0.134	CQ50
