id	cluster	value	batch	group
1	C1	cluster3	0	PRJNA660092	Control
2	C1	cluster2	0	PRJNA660092	Control
3	C1	cluster1	0.0697674418604651	PRJNA660092	Control
4	C10	cluster3	0	PRJNA660092	Control
5	C10	cluster2	0	PRJNA660092	Control
6	C10	cluster1	0	PRJNA660092	Control
7	C11	cluster2	0	PRJNA660092	Control
8	C11	cluster1	0.0232558139534884	PRJNA660092	Control
9	C11	cluster3	0	PRJNA660092	Control
10	C12	cluster1	0	PRJNA660092	Control
11	C12	cluster2	0.0232558139534884	PRJNA660092	Control
12	C12	cluster3	0	PRJNA660092	Control
13	C13	cluster1	0	PRJNA660092	Control
14	C13	cluster2	0.0232558139534884	PRJNA660092	Control
15	C13	cluster3	0	PRJNA660092	Control
16	C14	cluster1	0.0232558139534884	PRJNA660092	Control
17	C14	cluster3	0	PRJNA660092	Control
18	C14	cluster2	0.0232558139534884	PRJNA660092	Control
19	C15	cluster3	0	PRJNA660092	Control
20	C15	cluster2	0.0232558139534884	PRJNA660092	Control
21	C15	cluster1	0	PRJNA660092	Control
22	C16	cluster3	0	PRJNA660092	Control
23	C16	cluster1	0.0232558139534884	PRJNA660092	Control
24	C16	cluster2	0.0232558139534884	PRJNA660092	Control
25	C17	cluster3	0	PRJNA660092	Control
26	C17	cluster2	0.0232558139534884	PRJNA660092	Control
27	C17	cluster1	0.0465116279069767	PRJNA660092	Control
28	C18	cluster1	0	PRJNA660092	Control
29	C18	cluster3	0.0232558139534884	PRJNA660092	Control
30	C18	cluster2	0.0232558139534884	PRJNA660092	Control
31	C19	cluster3	0	PRJNA660092	Control
32	C19	cluster1	0	PRJNA660092	Control
33	C19	cluster2	0.0232558139534884	PRJNA660092	Control
34	C2	cluster2	0.0232558139534884	PRJNA660092	Control
35	C2	cluster1	0	PRJNA660092	Control
36	C2	cluster3	0	PRJNA660092	Control
37	C20	cluster1	0.116279069767442	PRJNA660092	Control
38	C20	cluster2	0	PRJNA660092	Control
39	C20	cluster3	0	PRJNA660092	Control
40	C21	cluster2	0	PRJNA660092	Control
41	C21	cluster1	0	PRJNA660092	Control
42	C21	cluster3	0	PRJNA660092	Control
43	C22	cluster1	0	PRJNA660092	Control
44	C22	cluster3	0	PRJNA660092	Control
45	C22	cluster2	0	PRJNA660092	Control
46	C23	cluster3	0	PRJNA660092	Control
47	C23	cluster2	0	PRJNA660092	Control
48	C23	cluster1	0	PRJNA660092	Control
49	C24	cluster2	0	PRJNA660092	Control
50	C24	cluster1	0.0232558139534884	PRJNA660092	Control
51	C24	cluster3	0.0465116279069767	PRJNA660092	Control
52	C25	cluster1	0	PRJNA660092	Control
53	C25	cluster3	0	PRJNA660092	Control
54	C25	cluster2	0	PRJNA660092	Control
55	C26	cluster3	0	PRJNA660092	Control
56	C26	cluster2	0.0232558139534884	PRJNA660092	Control
57	C26	cluster1	0	PRJNA660092	Control
58	C27	cluster3	0.0465116279069767	PRJNA660092	Control
59	C27	cluster2	0.0232558139534884	PRJNA660092	Control
60	C27	cluster1	0	PRJNA660092	Control
61	C28	cluster3	0.0465116279069767	PRJNA660092	Control
62	C28	cluster2	0.0465116279069767	PRJNA660092	Control
63	C28	cluster1	0	PRJNA660092	Control
64	C29	cluster2	0	PRJNA660092	Control
65	C29	cluster1	0	PRJNA660092	Control
66	C29	cluster3	0	PRJNA660092	Control
67	C3	cluster3	0	PRJNA660092	Control
68	C3	cluster1	0	PRJNA660092	Control
69	C3	cluster2	0	PRJNA660092	Control
70	C30	cluster3	0	PRJNA660092	Control
71	C30	cluster2	0.0232558139534884	PRJNA660092	Control
72	C30	cluster1	0	PRJNA660092	Control
73	C31	cluster1	0.0232558139534884	PRJNA660092	Control
74	C31	cluster2	0.0465116279069767	PRJNA660092	Control
75	C31	cluster3	0	PRJNA660092	Control
76	C32	cluster2	0	PRJNA660092	Control
77	C32	cluster3	0	PRJNA660092	Control
78	C32	cluster1	0	PRJNA660092	Control
79	C33	cluster1	0.0697674418604651	PRJNA660092	Control
